laser_score,source_sentence_lid,target_sentence_lid,source_sentence_source,source_sentence_url,target_sentence_source,target_sentence_url,source,target
1.2186412,1.0,1.00001,crawl-data/CC-MAIN-2018-51/segments/1544376824338.6/wet/CC-MAIN-20181213010653-20181213032153-00010.warc.wet.gz,https://www.jw.org/en/publications/magazines/w20131215/jehovah-shielded-them/,crawl-data/CC-MAIN-2017-09/segments/1487501170741.49/wet/CC-MAIN-20170219104610-00295-ip-10-171-10-108.ec2.internal.warc.wet.gz,https://www.jw.org/ilo/publikasion/magasin/w20131215/sinalakniban-ida-jehova/,"Translate this sentence from eng to ilo: Only when my brothers were on their way back early in the morning did I encounter them.""","Sako la nakita dagiti kakabsat idi agsublidan iti parbangon."""
1.1803553,0.99998,1.00001,crawl-data/CC-MAIN-2018-47/segments/1542039744750.80/wet/CC-MAIN-20181118221818-20181119003818-00210.warc.wet.gz,https://www.jw.org/en/publications/magazines/w20130715/jesus-parable-wheat-and-weeds/,crawl-data/CC-MAIN-2019-43/segments/1570986649035.4/wet/CC-MAIN-20191014025508-20191014052508-00382.warc.wet.gz,https://www.jw.org/ilo/publikasion/magasin/w20130715/pangngarig-jesus-trigo-dakes-ruot/,"Translate this sentence from eng to ilo: He asked: ""Who really is the faithful and discreet slave?""","Insaludsodna: ""Siasino a pudpudno ti matalek ken masirib nga adipen?"""
1.1836383,0.99997,1.00001,crawl-data/CC-MAIN-2021-43/segments/1634323587608.86/wet/CC-MAIN-20211024235512-20211025025512-00091.warc.wet.gz,https://gucu.org.uk/bible/old-testament/9-1-samuel/1-samuel-20/,crawl-data/CC-MAIN-2021-04/segments/1610704798089.76/wet/CC-MAIN-20210126042704-20210126072704-00702.warc.wet.gz,https://breakeveryyoke.com/i-samuel-20---ti-biblia,"Translate this sentence from eng to ilo: So now, if I have found favour with you, let me go to see my brothers.'","Ita, no nasayaatak iti imatangmo, palubosannak koma a mapanko kitaen dagiti kakabsatko a lallaki.'"
1.1916794,0.99997,0.99998,crawl-data/CC-MAIN-2021-43/segments/1634323585518.54/wet/CC-MAIN-20211022181017-20211022211017-00176.warc.wet.gz,https://alkitab.mobi/tb/Mat/15/34,crawl-data/CC-MAIN-2017-09/segments/1487501171646.15/wet/CC-MAIN-20170219104611-00050-ip-10-171-10-108.ec2.internal.warc.wet.gz,https://www.jw.org/ilo/publikasion/biblia/bi12/libro/mateo/15/,"Translate this sentence from eng to ilo: They replied, ""Seven - and a few small fish.""","Kinunada: ""Pito, ken sumagmamano a babassit nga ikan."""
1.1919254,1.00001,1.00001,crawl-data/CC-MAIN-2019-35/segments/1566027313259.30/wet/CC-MAIN-20190817123129-20190817145129-00158.warc.wet.gz,http://kingdomlivingkc.org/parashot/give-ear/,crawl-data/CC-MAIN-2017-04/segments/1484560280242.65/wet/CC-MAIN-20170116095120-00021-ip-10-171-10-70.ec2.internal.warc.wet.gz,https://www.jw.org/ilo/publikasion/biblia/bi12/libro/deuteronomio/32/,Translate this sentence from eng to ilo: there was no foreign god with him.,Ket awan ti naikadua kenkuana a ganggannaet a dios.+
1.1781013,1.00001,1.00001,crawl-data/CC-MAIN-2018-17/segments/1524125945484.58/wet/CC-MAIN-20180422022057-20180422042057-00355.warc.wet.gz,https://www.jehovahs-witness.com/topic/6309603904061440/when-comes-true-will-come-true-they-will-have-know-that-prophet-has-been-among-them,crawl-data/CC-MAIN-2017-09/segments/1487501171066.47/wet/CC-MAIN-20170219104611-00400-ip-10-171-10-108.ec2.internal.warc.wet.gz,https://www.jw.org/ilo/publikasion/biblia/bi12/libro/ezequiel/33/,Translate this sentence from eng to ilo: And when it comes true - and it will come true - they will have to know that a prophet has been among them.,"33 Ket inton pumudno dayta - adtoy! masapul a pumudno+ - kasapulan a maammuandanto met a maysa a mammadto a mismo ti adda idi iti tengngada.""+"
1.2189403,1.00001,1.00001,crawl-data/CC-MAIN-2018-30/segments/1531676590046.11/wet/CC-MAIN-20180718021906-20180718041906-00606.warc.wet.gz,https://offthebeatentrek.blogspot.com/2012/03/tiles-that-buckled-up.html,paracrawl9_wide00016,_,"Translate this sentence from eng to ilo: for in the same way they persecuted the prophets who were before you.""","Ta kastoy ti panangidadanes dagiti tattao kadagiti profeta nga immun-una ngem dakayo."""
1.182472,1.0,1.00001,crawl-data/CC-MAIN-2017-43/segments/1508187824733.32/wet/CC-MAIN-20171021095939-20171021115939-00272.warc.wet.gz,http://topverses.com/?verse=29367,paracrawl9_wide00016,_,Translate this sentence from eng to ilo: 30 And their sight was restored.,30 Ket naisubli ti panagkitada.
1.2050093,1.0,1.00001,crawl-data/CC-MAIN-2017-34/segments/1502886117519.92/wet/CC-MAIN-20170823035753-20170823055753-00088.warc.wet.gz,https://www.fanfiction.net/s/8723326/1/Slowly,crawl-data/CC-MAIN-2017-04/segments/1484560285337.76/wet/CC-MAIN-20170116095125-00346-ip-10-171-10-70.ec2.internal.warc.wet.gz,https://issuu.com/ilokano/docs/vol-10-no-7,Translate this sentence from eng to ilo: So he ordered for the gallows to be constructed.,ket isun ti nagbilin iti yaarayat dagiti bumbero.
1.2169698,1.00001,1.00001,crawl-data/CC-MAIN-2019-09/segments/1550247479101.30/wet/CC-MAIN-20190215183319-20190215205319-00034.warc.wet.gz,https://www.jw.org/en/publications/books/learn-from-great-teacher-jesus/should-we-brag/,crawl-data/CC-MAIN-2019-43/segments/1570986696339.42/wet/CC-MAIN-20191019141654-20191019165154-00089.warc.wet.gz,https://www.jw.org/ilo/publikasion/libro/agsursuroka-naindaklan-mannursuro-jesus/rumbeng-kadi-agpasindayagtayo/,Translate this sentence from eng to ilo: Which of these two men do you think was pleasing to God?,Siasino kadagitoy a dua a lallaki ti ammom a makaay-ayo iti Dios?
